id_player,serial,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
ID_416,556,65.8,61,39,0,0,0,0
ID_84,556,65.8,282,191,0,12,0,1
ID_303,558,65.6,139,107,28,7,2,1
ID_394,558,65.6,80,55,20,5,1,1
ID_160,560,65.5,136,92,18,11,2,4
ID_188,561,65.4,207,135,8,25,2,6
ID_522,562,65.2,66,50,25,8,2,0
ID_437,563,65.0,74,56,0,1,0,0
ID_561,563,65.0,59,48,0,5,0,2
ID_173,565,64.8,269,173,0,0,0,33
ID_371,565,64.8,141,96,31,16,5,4
ID_270,567,64.2,162,104,28,7,2,0
ID_370,567,64.2,83,54,62,8,5,1
ID_583,569,64.0,22,14,0,0,0,0
ID_499,570,63.0,61,44,66,3,2,0
ID_567,571,62.5,40,29,0,1,0,0
ID_419,572,62.3,50,37,0,2,0,1
ID_496,573,62.0,57,41,20,5,1,1
ID_611,573,62.0,40,25,0,0,0,0
ID_572,573,62.0,21,13,0,2,0,0
ID_279,576,61.4,195,151,15,19,3,0
ID_470,577,61.3,66,48,0,0,0,4
ID_520,577,61.3,47,31,0,1,0,1
ID_537,579,61.0,61,43,16,6,1,5
ID_564,580,60.5,53,36,0,1,0,1
ID_465,581,60.4,59,32,0,1,0,0
ID_477,582,60.1,72,49,11,9,1,1
ID_503,583,60.0,86,77,0,0,0,4
ID_422,584,58.8,46,29,50,2,1,0
ID_484,585,57.8,135,106,25,12,3,4
ID_45,586,57.5,157,116,22,9,2,7
ID_588,586,57.5,19,9,0,0,0,0
ID_525,588,57.2,44,29,0,0,0,0
ID_593,589,57.0,55,47,0,2,0,4
ID_531,590,56.8,27,20,33,3,1,0
ID_125,591,56.4,117,67,22,18,4,2
ID_64,592,55.7,283,158,0,0,0,31
ID_444,593,54.4,46,35,0,0,0,1
ID_577,594,54.0,47,38,0,0,0,2
ID_610,594,54.0,28,15,0,0,0,3
ID_396,596,53.6,56,38,50,2,1,0
ID_128,597,53.1,90,49,28,7,2,1
ID_388,598,53.0,98,52,0,0,0,13
ID_488,599,52.7,37,22,0,1,0,0
ID_356,600,51.0,80,51,0,4,0,0
ID_172,601,50.7,165,85,0,0,0,24
ID_547,602,46.8,43,27,0,1,0,0
ID_493,603,46.7,50,27,0,1,0,0
ID_50,604,44.5,37,33,0,0,0,1
ID_600,605,44.0,9,7,0,0,0,1
ID_575,606,42.6,23,13,0,2,0,0
ID_587,607,36.5,22,16,0,0,0,0
ID_598,608,35.7,26,18,0,0,0,0
